particle,determinant,mass_MeV,mass_GeV
u,0.08333333333333333,2.2741666666666664,0.0022741666666666665
d,0.16666666666666666,4.548333333333333,0.004548333333333333
s,4,109.16,0.10916
c,48,1309.92,1.30992
b,144,3929.7599999999998,3.92976
t,6561,179049.69,179.04969
